
> sevenboard@0.1.0 dev:web
> npm run dev -w apps/web


> @sevenboard/web@0.1.0 dev
> next dev

▲ Next.js 16.2.2 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.6.39:3000
- Environments: .env.local
✓ Ready in 3.5s

 GET /variable-cost 200 in 44ms (next.js: 5ms, application-code: 39ms)
 GET /cashflow 200 in 41ms (next.js: 4ms, application-code: 36ms)
 GET /kpi 200 in 39ms (next.js: 4ms, application-code: 35ms)
 GET /comments 200 in 44ms (next.js: 5ms, application-code: 39ms)
 GET /ai-report 200 in 37ms (next.js: 5ms, application-code: 32ms)
 GET /variable-cost 200 in 182ms (next.js: 38ms, application-code: 144ms)
 GET /financial-statements 200 in 74ms (next.js: 32ms, application-code: 43ms)
 GET /financial-statements 200 in 47ms (next.js: 5ms, application-code: 42ms)
 GET / 200 in 64ms (next.js: 29ms, application-code: 35ms)
 GET /variance 200 in 69ms (next.js: 29ms, application-code: 40ms)
 GET /variable-cost 200 in 35ms (next.js: 5ms, application-code: 31ms)
 GET /ai-report 200 in 50ms (next.js: 20ms, application-code: 30ms)
 GET /masters 200 in 67ms (next.js: 31ms, application-code: 36ms)
 GET /financial-statements 200 in 42ms (next.js: 5ms, application-code: 37ms)
 GET /variable-cost 200 in 39ms (next.js: 5ms, application-code: 34ms)
 GET /settings 200 in 58ms (next.js: 31ms, application-code: 28ms)
 GET /variance 200 in 32ms (next.js: 5ms, application-code: 27ms)
 GET /alerts 200 in 55ms (next.js: 21ms, application-code: 34ms)
 GET /ai-report 200 in 38ms (next.js: 6ms, application-code: 33ms)
 GET /variable-cost 200 in 35ms (next.js: 4ms, application-code: 31ms)
 GET / 200 in 37ms (next.js: 5ms, application-code: 31ms)
 GET /variance 200 in 42ms (next.js: 6ms, application-code: 36ms)
 GET /budget 200 in 46ms (next.js: 7ms, application-code: 39ms)
 GET /variable-cost 200 in 36ms (next.js: 4ms, application-code: 31ms)
 GET /financial-statements 200 in 39ms (next.js: 5ms, application-code: 35ms)
 GET /cashflow 200 in 52ms (next.js: 6ms, application-code: 46ms)
 GET /kpi 200 in 44ms (next.js: 8ms, application-code: 36ms)
 GET /comments 200 in 50ms (next.js: 8ms, application-code: 42ms)
 GET /kpi 200 in 44ms (next.js: 4ms, application-code: 40ms)
 GET /masters 200 in 40ms (next.js: 5ms, application-code: 35ms)
 GET / 200 in 39ms (next.js: 5ms, application-code: 34ms)
